City_State,Population,
Danville_CA,41182,
CasaGrande_AZ,41152,
RanchoPalosVerdes_CA,41106,
Lompoc_CA,41099,
Belleville_IL,41097,
Leominster_MA,41055,
Wilkes-Barre_PA,40932,
Midland_MI,40917,
Hutchinson_KS,40889,
FortPierce_FL,40885,
BullheadCity_AZ,40868,
Littleton_CO,40777,
JeffersonCity_MO,40771,
Lacey_WA,40702,
LaPuente_CA,40642,
Westfield_MA,40608,
Hoboken_NJ,40577,
RohnertPark_CA,40496,
SanGabriel_CA,40445,
SanBruno_CA,40315,
Fitchburg_MA,40239,
HaltomCity_TX,40181,
Sammamish_WA,40179,
Edmonds_WA,40158,
Muskogee_OK,40099,
York_PA,40097,
ElCentro_CA,40083,
CarolStream_IL,40004,
Columbus_IN,40001,
Shelton_CT,39991,
Quincy_IL,39983,
AltamonteSprings_FL,39947,
Holyoke_MA,39947,
Beavercreek_OH,39909,
Cleveland_TN,39753,
Riverton_UT,39751,
Hagerstown_MD,39728,
Pflugerville_TX,39653,
Urbana_IL,39641,
Leesburg_VA,39641,
Spartanburg_SC,39584,
HotSprings_AR,39467,
Bozeman_MT,39442,
StateCollege_PA,39419,
AtlanticCity_NJ,39408,
Muskegon_MI,39401,
Coachella_CA,39391,
Beverly_MA,39343,
Collierville_TN,39211,
Linden_NJ,39162,
Coppell_TX,39154,
Brookfield_WI,39020,
Keller_TX,38951,
Burlington_VT,38897,
Madison_AL,38714,
HallandaleBeach_FL,38683,
NewBerlin_WI,38649,
Sumter_SC,38625,
Campbell_CA,38617,
CulverCity_CA,38580,
Hurst_TX,38550,
Dublin_OH,38536,
PrescottValley_AZ,38535,
Huntsville_TX,38480,
Urbandale_IA,38369,
Calexico_CA,38344,
TempleCity_CA,38341,
Brea_CA,38314,
Meridian_MS,38232,
RockIsland_IL,38139,
MorganHill_CA,38096,
Sherman_TX,38077,
CedarFalls_IA,38059,
Romeoville_IL,38028,
NorthMiamiBeach_FL,37997,
OrmondBeach_FL,37984,
Apopka_FL,37935,
Marlborough_MA,37932,
GooseCreek_SC,37900,
Florence_AL,37877,
Smyrna_TN,37867,
Wylie_TX,37861,
SanJacinto_CA,37842,
Lima_OH,37829,
Carpentersville_IL,37741,
Pacifica_CA,37739,
Monrovia_CA,37651,
Goldsboro_NC,37597,
Stanton_CA,37589,
Wausau_WI,37576,
CapeGirardeau_MO,37370,
Everett_MA,37353,
NewAlbany_IN,37296,
Germantown_TN,37251,
HuberHeights_OH,37148,
Streamwood_IL,37119,
Findlay_OH,36987,
Portage_IN,36976,
Lancaster_OH,36976,
ParkRidge_IL,36927,
LakeOswego_OR,36926,
Addison_IL,36917,
Woburn_MA,36871,
Gadsden_AL,36816,
CalumetCity_IL,36800,
HanoverPark_IL,36777,
Kearny_NJ,36746,
Richmond_IN,36733,
DelRio_TX,36682,
Bell_CA,36657,
PanamaCity_FL,36644,
Texarkana_TX,36611,
ManhattanBeach_CA,36605,
Chester_PA,36564,
Longview_WA,36562,
Montclair_CA,36530,
Annapolis_MD,36524,
Plainfield_IL,36507,
RivieraBeach_FL,36430,
Norwich_CT,36388,
Moorpark_CA,36372,
Puyallup_WA,36330,
UniversityCity_MO,36289,
